plantName,growth,soil,sunlight,watering,fertilizationType,difficultyOfCare,classification,
Peepal Tree,slow,well-drained,full sunlight,"Regular, moist soil",Organic,7,ornamental,
Plumeria,moderate,loamy,full sunlight,"Regular, well-drained soil",Low-nitrogen,8,ornamental,
Quaking Aspen,moderate,well-drained,full sunlight,"Regular, moist soil",Organic,8,ornamental,
Quinoa,fast,loamy,full sunlight,"Regular, well-drained soil",No,8,ornamental,
Red Maple,slow,well-drained,full sunlight,"Regular, moist soil",Balanced,7,tree,
Redwood,slow,moist,full sunlight,"Regular, moist soil",Low-nitrogen,7,ornamental,
River Birch,moderate,well-drained,full sunlight,"Regular, moist soil",Balanced,8,tree,
Rose of Sharon,moderate,moist,full sunlight,"Regular, moist soil",Balanced,8,"flower, skincare",
Rosemary Mint,moderate,well-drained,partial sunlight,"Regular, well-drained soil",No,6,"herb, edible",
Sago Palm,slow,well-drained,full sunlight,"Regular, well-drained soil",Organic,7,tree,
Scabiosa (Pincushion Flower),moderate,loamy,full sunlight,"Regular, moist soil",Organic,8,ornamental,
Scilla,moderate,moist,full sunlight,"Regular, moist soil",Low-nitrogen,8,ornamental,
Sedge,slow,well-drained,partial sunlight,"Regular, well-drained soil",Organic,6,ornamental,
Silene (Catchfly),moderate,loamy,full sunlight,"Regular, well-drained soil",No,7,ornamental,
Silverbell Tree,moderate,moist,full sunlight,"Regular, well-drained soil",Organic,8,ornamental,
Soursop,fast,well-drained,full sunlight,"Regular, moist soil",No,8,ornamental,
Sugarcane,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic,9,ornamental,
Tansy,slow,loamy,full sunlight,"Regular, moist soil",No,6,ornamental,
Teak,slow,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen,7,ornamental,
Themeda (Kangaroo Grass),fast,sandy,full sunlight,"Regular, moist soil",Organic,9,grass,
Tobacco Plant,fast,loamy,full sunlight,"Regular, well-drained soil",Balanced,9,ornamental,
Tuberose (Polianthes),moderate,well-drained,full sunlight,"Regular, moist soil",Organic,8,ornamental,
Water Lily,slow,loamy,full sunlight,"Regular, moist soil",No,6,flower,
Wattle,moderate,sandy,full sunlight,Water when soil feels dry,No,4,ornamental,
Yew,slow,loamy,partial sunlight,Water when topsoil is dry,Balanced,3,ornamental,
Zea Mays (Corn),fast,loamy,full sunlight,Keep soil consistently moist,Low-nitrogen,10,ornamental,
Zebra Grass,moderate,well-drained,partial sunlight,Keep soil consistently moist,Low-nitrogen,8,grass,
Zoysia Grass,slow,sandy,full sunlight,Water weekly,Organic,6,grass,
Achillea (Yarrow),moderate,well-drained,full sunlight,Let soil dry between watering,Balanced,6,medicinal,
Angelonia,moderate,well-drained,full sunlight,Keep soil consistently moist,Organic,9,ornamental,
Armeria (Thrift),slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen,4,ornamental,
Bearded Iris,slow,sandy,partial sunlight,Keep soil evenly moist,Balanced,7,flower,
Bergamot,moderate,loamy,partial sunlight,Water when soil is dry,Balanced,4,ornamental,
Bigleaf Hydrangea,moderate,acidic,full sunlight,Keep soil consistently moist,Organic,9,"flower, shrub",
Black Currant,moderate,loamy,partial sunlight,Water when soil feels dry,Organic,4,ornamental,
Blazing Star,moderate,loamy,full sunlight,Water when soil is dry,Organic,6,ornamental,
Bloodroot,slow,moist,partial sunlight,Keep soil slightly moist,Organic,7,ornamental,
California Poppy,fast,sandy,full sunlight,Water when soil is dry,Organic,7,flower,
Carob Tree,slow,well-drained,full sunlight,Water when soil is dry,Balanced,4,ornamental,
Chinese Lantern Plant,moderate,loamy,partial sunlight,Water when soil feels dry,Balanced,4,ornamental,
Clover,fast,loamy,full sunlight,Water when topsoil is dry,No,6,ornamental,
Coltsfoot,slow,moist,partial sunlight,Water when soil is dry,Low-nitrogen,3,ornamental,
Daffodils,slow,loamy,full sunlight,Keep soil consistently moist,Organic,8,ornamental,
Daisy Fleabane,moderate,loamy,partial sunlight,Water weekly,Low-nitrogen,6,flower,
Dogwood Tree,slow,loamy,partial sunlight,Keep soil consistently moist,Low-nitrogen,7,tree,
Dragonfruit Cactus,moderate,well-drained,full sunlight,Let soil dry between watering,No,4,succulent,
Engelmann Spruce,slow,well-drained,full sunlight,Water when soil feels dry,Balanced,4,tree,
Fairy Lantern,moderate,loamy,partial sunlight,Keep soil slightly moist,Balanced,8,ornamental,
Fritillaria,slow,well-drained,partial sunlight,Water when soil is dry,No,2,ornamental,
Galax,moderate,moist,partial sunlight,Keep soil evenly moist,No,7,ornamental,
Ginkgo,slow,loamy,full sunlight,Water when topsoil is dry,Balanced,4,tree,
Grape Hyacinth,fast,loamy,full sunlight,Keep soil consistently moist,Organic,10,"edible, flower, fruit, inedible",
Guar,fast,sandy,full sunlight,Water when soil is dry,No,6,"vegetable, edible",
Gumwood Tree,moderate,loamy,partial sunlight,Water when soil is dry,Organic,4,ornamental,
Goldenrods,moderate,loamy,full sunlight,Keep soil moist,Organic,9,ornamental,
Goldenseal,slow,moist,partial sunlight,Keep soil moist,Balanced,7,medicinal,
Heliopsis,moderate,loamy,full sunlight,Keep soil moist,No,8,ornamental,
Henbane,moderate,loamy,full sunlight,Water when soil feels dry,Organic,6,medicinal,
Heracleum (Cow Parsnip),fast,loamy,partial sunlight,Keep soil moist,Balanced,9,ornamental,
Hops Vine,fast,well-drained,full sunlight,Keep soil moist,Low-nitrogen,10,"edible, herb, vine",
Indian Grass,moderate,loamy,full sunlight,Water when soil is dry,Low-nitrogen,6,grass,
Islander (Agave),slow,well-drained,full sunlight,Let soil dry between watering,No,3,succulent,
Ironwood,slow,loamy,full sunlight,Water when soil is dry,Organic,4,ornamental,
Jerusalem Artichoke,fast,loamy,full sunlight,Water when soil is dry,Balanced,7,"vegetable, edible",
Laelia Orchid,slow,well-drained,indirect sunlight,Keep soil consistently moist,No,4,flower,
Ligustrum,fast,loamy,partial sunlight,Water when topsoil is dry,Low-nitrogen,6,ornamental,
Lilac Tree,slow,loamy,partial sunlight,Water weekly,Balanced,4,shrub,
