plantName,description
Ixia,"Also known as 'African Corn Lily,' it produces tall, wiry stems topped with clusters of star-shaped, brilliantly colored flowers."
Jacaranda,"A breathtaking ornamental tree famous for its cloud-like canopy of vibrant purple, trumpet-shaped blossoms."
Kiwi Vine,"A vigorous, woody climber that requires plenty of sun and a sturdy trellis to produce its fuzzy, vitamin-rich green fruits."
Knautia,"A pincushion-like flower with deep crimson blooms that sway on slender stems, attracting bees and butterflies all summer."
Liatris,"Often called 'Blazing Star,' it produces unique, fuzzy purple flower spikes that bloom from the top down."
Lilac,"A beloved spring shrub known for its dense, cone-shaped clusters of intensely fragrant purple or white flowers."
Luffa,"A fast-growing gourd vine that produces fruits which, when dried and peeled, become the natural fibrous sponges used for bathing."
Malva (Mallow),"A hardy and prolific bloomer with satiny, striped flowers that add a nostalgic, cottage-garden feel to sunny borders."
Neoregalia (Bromeliad),"A stunning tropical plant that forms a flat rosette of leaves, with the center often turning brilliant red or pink before blooming."
Nettle,"A fast-growing plant known for its stinging hairs, though it is highly valued as a nutrient-rich herb when blanched or dried."
Passionflower,"An exotic-looking vine with intricate, otherworldly flowers followed by delicious, aromatic passion fruits."
Pepper Plant,"A sun-loving garden staple that produces a wide variety of pods, ranging from sweet bell peppers to fiery hot chilies."
Pomegranate,"A long-lived, drought-tolerant shrub or small tree that produces leathery red fruits filled with juicy, jewel-like seeds."
Potato Vine,"A vigorous climber related to the common potato, grown for its profusion of star-shaped white or bluish flowers."
Protea,"A prehistoric-looking South African shrub with massive, dramatic flower heads that are a centerpiece of high-end floral design."
Purslane,"A resilient, succulent-leafed plant that is often considered a weed but is actually a highly nutritious, tangy edible green."
Quince,"A hardy tree related to apples and pears, producing fragrant, golden-yellow fruits that are excellent when cooked into jams and jellies."
Red Hot Poker (Kniphofia),"A bold architectural plant with tall, torch-like flower spikes in fiery shades of red, orange, and yellow."
Red-leafed Maple,"A stunning ornamental tree prized for its brilliant scarlet foliage that provides a dramatic focal point in the landscape."
Rhododendron,"A spectacular flowering shrub that prefers acidic soil and produces massive clusters of bell-shaped blooms in spring."
Snowdrop,"One of the earliest signs of spring, these small, hardy bulbs produce delicate, nodding white flowers even in the snow."
Spider Flower,"A tall, airy annual with unique 'spider-like' flowers featuring long, wispy stamens and attractive palmate leaves."
Star Jasmine,"A popular evergreen climber that smothers itself in tiny, star-shaped white flowers with a powerful, sweet fragrance."
Strawberry Plant,"A productive groundcover that yields sweet, red berries and spreads easily via runners in sunny garden beds."
Sweet Basil,"The classic aromatic herb of Italian cuisine, featuring tender, spicy leaves that are the essential ingredient for fresh pesto."
Sweet Potato Vine,"A fast-growing ornamental or food plant with trailing stems and attractive lime-green or dark purple foliage."
Taro,"A tropical plant grown for its large 'elephant ear' leaves and its starchy, edible corms which are a staple in many cultures."
Tiger Lily,"A bold and hardy lily with bright orange, black-spotted petals that curve backward, creating a striking wild appearance."
Violet,"A small, sweet-scented flower with heart-shaped leaves, often found in woodland settings or used as a delicate garden groundcover."
Zebra Plant,"A striking tropical plant known for its bold, dark green leaves with vivid white veins and bright yellow flower spikes."
Zephyranthes (Rain Lily),"A charming bulb that produces delicate, star-shaped flowers that famously pop into bloom immediately after a heavy rain."
Buckwheat,"A fast-growing, eco-friendly plant used as a cover crop, producing clusters of tiny white flowers that are a magnet for honeybees."
Cabbage Palm,"The state tree of Florida, this hardy palm features a crown of fan-shaped fronds and an edible 'heart' used in culinary dishes."
Camelina,"An ancient oilseed plant often called 'False Flax,' valued for its hardy nature and the high omega-3 content of its seeds."
Elderflower,"The fragrant, lacy white blossoms of the elderberry shrub, widely used to create delicate syrups, cordials, and herbal liqueurs."
Epazote,"A pungent Mexican herb with a distinct, earthy scent that is traditionally cooked with beans to enhance flavor and aid digestion."
Fern (Maidenhair),"One of the most delicate ferns, featuring airy, fan-shaped leaflets on thin black stems; it craves high humidity and shade."
Galangal,"A tropical rhizome related to ginger but with a sharper, citrusy-pine flavor, essential in authentic Thai and Indonesian soups."
Hummingbird Sage,"A California native with aromatic, fruity-scented foliage and tall spikes of magenta flowers that are a favorite of pollinators."
Indian Cress,"Another name for the Nasturtium, this plant offers vibrant, trumpet-like flowers and peppery leaves that are entirely edible."
Lacandonian,"A rare and mysterious rainforest plant known for its unique botanical structure and its preference for deep, loamy shaded soils."
Lemon Grass,"A tall, fragrant tropical grass with a bright lemon scent used extensively in Asian cooking, teas, and as a natural insect repellent."
Lilac Bush,"A classic, multi-stemmed shrub that fills the spring air with its legendary, sweet-scented clusters of purple or white blooms."
Mandevilla,"A show-stopping tropical vine that produces a continuous display of large, trumpet-shaped flowers in brilliant shades of pink and red."
Marigold (African),"A sturdy, sun-loving annual that produces massive, pom-pom-like flower heads in shades of bright orange and yellow."
Mayapple,"A native woodland plant that unfurls like a green umbrella to protect a single white flower; note that most of the plant is highly toxic."
Nandina (Heavenly Bamboo),"An elegant evergreen shrub with lacy foliage that turns brilliant red in winter, accompanied by clusters of scarlet berries."
Nutmeg,"A tropical evergreen tree that produces two distinct spices: nutmeg from the seed itself and mace from the lacy red covering."
Orchid (Vanilla),"A climbing tropical orchid that produces the world’s most popular flavoring from its fermented and cured seed pods."
Peepal Tree,"A long-lived sacred fig tree with heart-shaped leaves that finish in a long 'drip tip,' often found near temples and shrines."
Plumeria,"The iconic 'Frangipani' tree of the tropics, famous for its incredibly fragrant, waxy flowers often used to make Hawaiian leis."
Quaking Aspen,"A beautiful hardy tree known for its smooth white bark and leaves that 'quake' or flutter in even the slightest breeze."
Quinoa,"A colorful, upright plant related to spinach that produces highly nutritious, protein-rich seeds that are a global superfood staple."
Red Maple,"A majestic shade tree prized for its reliable and spectacular autumn display, turning shades of brilliant orange and fiery red."
Redwood,"One of the world's tallest and oldest tree species, featuring thick, fire-resistant bark and a majestic, towering growth habit."
River Birch,"A fast-growing tree with unique, peeling cinnamon-colored bark that provides year-round visual interest in the landscape."
Rose of Sharon,"A hardy hibiscus shrub that produces large, tropical-looking flowers in late summer when many other plants have finished blooming."
Rosemary Mint,"A refreshing hybrid herb that combines the piney notes of rosemary with the cooling finish of mint, perfect for culinary use."
Sago Palm,"A slow-growing, prehistoric-looking plant with stiff, feathery fronds; despite its name, it is actually a cycad and is highly toxic."
Scabiosa (Pincushion Flower),"A dainty, long-blooming flower with soft, ruffled petals and a center that resembles a pin stuck into a cushion."
Scilla,"A small, spring-blooming bulb that produces drifts of intense blue, bell-shaped flowers that naturalize easily in lawns or woods."
Sedge,"A grass-like perennial that thrives in moist or boggy areas, offering a variety of textures and colors for difficult garden spots."
Silene (Catchfly),"A charming wildflower named for the sticky sap on its stems that occasionally 'catches' small insects; produces bright pink blooms."
Silverbell Tree,"A graceful, small tree that lives up to its name with a stunning display of hanging, bell-shaped white flowers in the spring."
Soursop,"A tropical fruit tree that produces large, prickly green fruits with a creamy, tangy-sweet interior often used in juices and desserts."
Sugarcane,"A giant tropical grass with thick, fibrous stalks that store a high concentration of sucrose, the primary source of world sugar."
Tansy,"A hardy perennial with yellow, button-like flower clusters and fern-fringe foliage; historically used as a natural insect repellent."
Teak,"A massive tropical hardwood tree prized globally for its incredibly durable, water-resistant wood used in high-end furniture and boats."
Themeda (Kangaroo Grass),"An iconic Australian native grass with distinctive copper-colored seed heads that provide a wild, architectural look."
Tobacco Plant,"A fast-growing plant with large, velvety leaves and fragrant tubular flowers, historically cultivated for its nicotine-rich foliage."
Tuberose (Polianthes),"A night-blooming plant with waxy white flowers that possess one of the most powerful and intoxicating scents in the floral kingdom."
Water Lily,"An enchanting aquatic plant with floating circular leaves and waxen flowers that bloom directly on the surface of ponds."
Wattle,"The national floral emblem of Australia, this Acacia variety produces a spectacular cloud of golden, honey-scented puffball flowers."
Yew,"An ancient, slow-growing evergreen with dark needles and red berries; it is incredibly long-lived and is a staple of formal clipped hedges."
Zea Mays (Corn),"A tall, fast-growing cereal crop that is a cornerstone of global food, producing ears of sweet, starchy kernels in late summer."
Zebra Grass,"A popular ornamental grass featuring tall, arching green blades with horizontal 'zebra-like' yellow stripes."
Zoysia Grass,"A dense, carpet-like lawn grass that is highly prized for its heat tolerance and ability to withstand heavy foot traffic."
Achillea (Yarrow),"A rugged and versatile perennial with feathery leaves and flat-topped flower clusters used for centuries in traditional herbal medicine."
Armeria (Thrift),"A compact, mound-forming perennial featuring tufts of grass-like foliage and charming globe-shaped pink or white flowers that thrive in coastal and rocky soils."
Bearded Iris,"A regal garden favorite known for its large, intricate blooms with 'bearded' petals that come in nearly every color of the rainbow."
Bergamot,"Also known as 'Bee Balm,' this aromatic plant produces shaggy, tubular flowers that are a magnet for pollinators and humingbirds."
Bigleaf Hydrangea,"A classic garden shrub famous for its large, rounded flower heads that can change color from blue to pink depending on the soil's acidity."
Black Currant,"A woody shrub prized for its glossy dark berries that are packed with Vitamin C and possess a deep, tart flavor perfect for preserves."
Blazing Star,"A striking North American native featuring tall, fuzzy flower spikes that bloom from the top down, adding vertical interest to sunny meadows."
Bloodroot,"A delicate woodland wildflower that produces a single white bloom and a unique, lobed leaf; its name comes from the bright red sap found in its roots."
California Poppy,"A resilient and fast-growing wildflower with silky, cup-shaped orange petals that close at night and on cloudy days."
Carob Tree,"A long-lived evergreen tree that produces large, leathery pods containing seeds and a sweet pulp often used as a natural chocolate substitute."
Chinese Lantern Plant,"An ornamental relative of the husk tomato, grown for its papery, bright orange-red seed pods that resemble glowing lanterns."
Clover,"A versatile and fast-growing groundcover with iconic three-lobed leaves that improves soil health by fixing nitrogen."
Coltsfoot,"An early-spring bloomer with bright yellow flowers that emerge before its hoof-shaped leaves; historically used in traditional herbalism."
Daffodils,"The quintessential symbol of spring, these hardy bulbs produce iconic trumpet-shaped yellow flowers that naturalize easily in gardens."
Daisy Fleabane,"A cheerful wildflower featuring clusters of small, daisy-like blooms with many thin, white or pale purple petals and yellow centers."
Dogwood Tree,"A beautiful ornamental tree known for its elegant spring 'flowers' (which are actually bracts) and its stunning layered branch structure."
Dragonfruit Cactus,"A climbing, night-blooming cactus that produces spectacular, scale-skinned fruits with a refreshing, speckled interior."
Engelmann Spruce,"A majestic, high-altitude evergreen tree with blue-green needles and a narrow, conical shape that is highly resistant to cold."
Fairy Lantern,"A rare and enchanting wildflower with nodding, globe-shaped blooms that look like delicate, glowing lanterns suspended in the shade."
Fritillaria,"A unique group of bulbs known for their nodding, bell-shaped flowers, some of which feature a rare and beautiful checkered pattern."
Galax,"An evergreen groundcover with glossy, heart-shaped leaves that turn a beautiful bronze-red in the winter, often used in floral arrangements."
Ginkgo,"A 'living fossil' tree with unique fan-shaped leaves that turn a brilliant, uniform gold in the autumn before falling all at once."
Grape Hyacinth,"A small, fast-growing bulb that produces dense clusters of tiny, bell-shaped blue flowers that resemble miniature bunches of grapes."
Guar,"A drought-tolerant legume grown for its pods, which are used both as a fresh vegetable and as the source of guar gum for food thickening."
Gumwood Tree,"A sturdy and attractive tree with aromatic foliage and a resilient nature, often used for its timber and as an ornamental shade provider."
Goldenrods,"Late-summer stars of the meadow, producing feathery plumes of brilliant yellow flowers that provide a vital nectar source for migrating butterflies."
Goldenseal,"A prized woodland medicinal herb with a thick yellow rhizome, traditionally used for its powerful anti-inflammatory and antimicrobial properties."
Heliopsis,"Commonly known as 'False Sunflower,' this hardy perennial produces a profusion of bright yellow, daisy-like blooms on tall, sturdy stems."
Henbane,"A plant with a long history in folklore and medicine, featuring pale yellow flowers with dark purple veins; all parts are highly toxic."
Heracleum (Cow Parsnip),"A giant, fast-growing perennial with massive, umbrella-like clusters of white flowers and large, deeply lobed leaves."
Hops Vine,"A vigorous, twining climber whose aromatic green cones are the essential ingredient for adding bitterness and aroma to beer."
Indian Grass,"A tall, beautiful prairie grass with feathery, golden-brown seed heads that provides excellent texture and habitat in a landscape."
Islander (Agave),"A sculptural, slow-growing succulent with thick, pointed leaves that forms a dramatic rosette, perfectly adapted for hot, dry climates."
Ironwood,"A name given to trees with exceptionally hard, dense wood; these slow-growing specimens are prized for their strength and longevity."
Jerusalem Artichoke,"A member of the sunflower family grown for its crunchy, nutty-tasting underground tubers that are a delicious and healthy vegetable."
Laelia Orchid,"A stunning tropical orchid known for its showy, often fragrant flowers that come in vibrant shades of purple, pink, and orange."
Ligustrum,"Commonly known as 'Privet,' this fast-growing shrub is a staple for creating dense, evergreen hedges and privacy screens."
Lilac Tree,"A larger, tree-form variety of the classic shrub, famous for its clouds of intensely fragrant, pale purple blossoms in late spring."
